Улус;Администр. центр;Площадь, тыс.км2;Численность населения (2002  г.), чел;Расст до Якт наземным;Расст до Якт водным;Расст до Якт воздушным;городов респ;городов улусного;поселков;сел;наслегов
Абыйский;п. Белая Гора;69,4;4750;1950/2900;3243;1148;-;-;1;6;5
Алданский;г. Алдан;156,8;49346;534;-;470;-;2;4;13;3
Аллаиховский;п. Чокурдах;107,3;3421;2700;2830;1290;-;-;1;6;5
Амгинский;с. Амга;29,4;17251;201;1036;200;-;-;-;21;14
Анабарский;с. Саскылах;55,6;4024;2621;2835;1285;-;-;-;3;3
Булунский;п. Тикси;223,6;9775;1694;1703;1270;-;-;1;9;8
Верхневилюйский;с. Верхневилюйск;42;21383;677;847;610;-;-;-;29;21
Верхнеколымский;п. Зырянка;67,8;5653;2440;4282;1255;-;-;1;5;5
Верхоянский;п. Батагай;137,4;13666;1400;2785;705;-;1;2;26;14
Вилюйский;г. Вилюйск;55,2;25696;592;739;535;-;1;1;25;19
Горный;с. Бердигестях;45,6;11422;184;-;150;-;-;-;16;9
Жиганский эвенкийский национальный;с. Жиганск;140,2;4312;754;764;610;-;-;-;5;4
Кобяйский;п. Сангар;107,8;14178;334/527;330;240;-;-;1;22;11
Ленский;г. Ленск;77;38669;1070/1387;1027;840;-;1;2;16;8
Мегино-Кангаласский;с. Майя;11,7;32288;52;-;60;-;-;1;35;29
Мирнинский;г. Мирный;165,8;86013;1207;-;820;1;1;4;8;3
Момский;с. Хонуу;104,6;4699;2000;3774;1125;-;-;-;7;6
Намский;с. Намцы;11,9;21454;84;96;-;-;-;-;24;18
Нерюнгринский*;г. Нерюнгри;98,9;89796;818;-;670;1;-;6;2;1
Нижнеколымский;п. Черский;87,1;5932;3189;3421;1920;-;-;1;12;3
Нюрбинский*;г. Нюрба;52,4;25858;812;977;600;1;-;-;23;18
Оймяконский;п. Усть-Нера;92,3;14670;1040;-;865;-;-;2;13;5
Олекминский;г. Олекминск;160,8;27563;651;620;530;-;1;1;52;21
Оленекский эвенкийский национальный;с. Оленек;318;4091;2026;3989;1105;-;-;-;4;4
;;;;;;;;;;;
Среднеколымский;г. Среднеколымск;125,2;8353;2664;3940;1485;-;1;-;14;9
Сунтарский;с. Сунтар;57,8;25485;985;1151;730;-;-;-;39;26
Таттинский;с. Ытык-Кюёль;19;16601;256;-;255;-;-;-;15;14
Томпонский;п. Хандыга;135,8;15275;449;642;370;-;-;2;12;7
Усть-Алданский;с. Борогонцы;18,3;22372;127;-;110;-;-;-;35;21
Усть-Майский;п. Усть-Мая;95,3;11568;382;-;310;-;-;6;10;5
Усть-Янский;п. Депутатский;120,3;10009;2068;-;1025;-;-;3;7;7
Хангаласский*;г. Покровск;24,7;35201;74;88;75;1;-;1;27;16
Чурапчинский;с. Чурапча;12,6;19466;182;-;180;-;-;-;30;17
Эвено-Бытантайский национальный;с. Батагай-Алыта;52,3;2761;1687;-;850;-;-;-;4;3
Якутск;г. Якутск;3,6;246279;-;-;-;1;-;1;11;2
